Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website
GUCCIO GUCCI S.P.A.,04294710480,151209,Firenze,Toscana,www.gucci.com
PRADA S.P.A.,10115350158,151209,Milano,Lombardia,www.prada.com
GUCCI LOGISTICA SOCIETA' PER AZIONI,04773230489,151209,Firenze,Toscana,http://www.gucci.com
BOTTEGA VENETA S.R.L.,01824610248,151209,Vicenza,Veneto,http://www.bottegaveneta.com
SALVATORE FERRAGAMO S.P.A.,02175200480,152010,Firenze,Toscana,group.ferragamo.com
YVES SAINT LAURENT MANIFATTURE S.R.L.,06196900481,151209,Firenze,Toscana,www.ysl.com
TOD'S S.P.A.,01113570442,152010,Fermo,Marche,www.todsgroup.com
BALENCIAGA LOGISTICA S.R.L.,06196910480,151209,Firenze,Toscana,http://www.balenciaga.com
GEOX S.P.A.,03348440268,152010,Treviso,Veneto,www.geox.biz
CONCERIA PASUBIO S.P.A.,00165480245,151100,Vicenza,Veneto,http://www.pasubio.com
GRUPPO MASTROTTO S.P.A.,02629600244,151100,Vicenza,Veneto,www.mastrotto.com
ALPINESTARS S.P.A.,01171110263,152010,Treviso,Veneto,http://www.alpinestarsinc.com
RINO MASTROTTO GROUP S.P.A.,02723000242,151100,Vicenza,Veneto,www.rinomastrotto.com
CELINE PRODUCTION S.R.L. -,01667950487,151209,Firenze,Toscana,http://www.celine.fr
LEO SHOES S.R.L.,04338410758,152010,Lecce,Puglia,http://www.leoshoes.it
RENATO CORTI S.P.A.,06248980960,151209,Milano,Lombardia,www.renatocorti.it
IMAC S.P.A.,00985500446,152010,Ascoli Piceno,Marche,www.igieco.it
GRISPORT S.P.A.,00541850269,152010,Treviso,Veneto,grisport.it
MABI INTERNATIONAL S.R.L.,01428220303,151209,Udine,Friuli-Venezia Giulia,mabi.it
DIADORA S.P.A.,04308510264,152010,Treviso,Veneto,www.diadora.com
FAEDA S.P.A.,03209700248,151100,Vicenza,Veneto,www.faeda.com
CALZATURIFICIO S.C.A.R.P.A. S.P.A.,00173370263,152010,Treviso,Veneto,world.scarpa.com
POLLINI S.P.A.,02589540406,152010,Forlì-Cesena,Emilia-Romagna,http://www.pollini.com
DANI S.P.A.,00552430985,151100,Vicenza,Veneto,www.gruppodani.com
COFRA S.R.L.,02850580727,152010,Barletta-Andria-Trani,Puglia,www.cofra.it
CALZATURIFICIO GENSI GROUP S.R.L.,01775460676,152010,Teramo,Abruzzo,www.calzaturificiogensi.com
FONTANA PELLETTERIE S.P.A.,00833190150,151209,Milano,Lombardia,www.fontanamilano1915.it
B.A.G. S.P.A.,01485570442,152010,Fermo,Marche,nerogiardini.it
LOWA R&D S.R.L.,00625550264,152000,Treviso,Veneto,lowa.it
ROVEDA SRL,12197290153,152010,Milano,Lombardia,www.roveda1955.com
MARIO LEVI S.P.A.,05285410014,151100,Torino,Piemonte,mariolevi.com
DIAMANT S.R.L.,02922140237,152010,Verona,Veneto,www.ciclostar.it
SANTONI SOCIETA' PER AZIONI,01806460430,152010,Milano,Lombardia,www.santonishoes.com
LAMIPEL-S.P.A.,01259430500,151100,Pisa,Toscana,www.lamipel.it
FALC S.P.A.,00347770430,152010,Macerata,Marche,www.falcotto.com
GIANVITO ROSSI S.R.L.,03591680404,152010,Forlì-Cesena,Emilia-Romagna,www.gianvitorossi.com
GUERRIERO PRODUZIONE PELLETTERIE S.R.L.,06253000639,151209,Napoli,Campania,www.guerrierosrl.eu
PREMIATA SRL,01467490445,152010,Milano,Lombardia,mille885.com
ROSSIMODA S.R.L.,00350530283,152010,Padova,Veneto,rossimoda.com
CREST LEATHER ITALIA S.R.L.,03906160241,151100,Vicenza,Veneto,www.crestleather.com
AMA S.R.L.,03395630159,150000,Milano,Lombardia,http://www.ama-milano.it/it/
COCCINELLE S.P.A.,00478330343,151209,Parma,Emilia-Romagna,http://www.coccinelle.com
CONCERIA NUTI IVO - SOCIETA' PER AZIONI,01600380503,151100,Pisa,Toscana,www.nutiivo.it/nutiivo
TRIPEL DUE S.R.L.,04718020482,151209,Firenze,Toscana,tripeldue.it
DSQUARED2 S.P.A.,05377120968,152010,Milano,Lombardia,dsquared2.com
PIQUADRO S.P.A.,02554531208,151209,Bologna,Emilia-Romagna,ru.piquadro.com
