Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website,URLPositivo,NellaHomepage,Significativo,EsitoRichiesta,CodiceRisposta
LE MIE BORSE S.R.L.,8500691210.0,151209.0,Napoli,Campania,blog.ornellaauzino.it,https://blog.ornellaauzino.it/artigianalita-e-personalizzazione-rivoluzione-nel-mondo-delle-borse/#respond,False,False,SUCCESSO,200.0
HI-TECH LUXURY LAB S.R.L.,2004970436.0,151209.0,Macerata,Marche,luxurytech.fund,https://cuir-invest.com/fr,False,False,SUCCESSO,200.0
GAITTECH S.R.L.,3890830361.0,152020.0,Modena,Emilia-Romagna,www.gait-tech.it,https://flipboard.com/article/wearing-high-heels-can-be-about-comfort-thanks-to-gait-tech/a-tAnERvWYStCjPv-0GWjEqQ%3Aa%3A221841707-ab54d8e99c%2Fwwd.com,False,False,SUCCESSO,200.0
CARPAN S.R.L.,1991950617.0,152010.0,Caserta,Campania,www.carpan.com,https://perfectdomain.com/tag/carp,False,False,SUCCESSO,200.0
RECOPEL S.R.L. SOCIETA' BENEFIT,7185300485.0,151209.0,Firenze,Toscana,zerolabfirenze.it,https://store.zerolabfirenze.it,False,True,SUCCESSO,200.0
CIELLEDUE S.R.L.,3571800618.0,152010.0,Caserta,Campania,www.cielledue.com,https://www.adsolut.it,False,False,SUCCESSO,200.0
DANKE PELLETTERIA S.R.L.,4416120162.0,151209.0,Bergamo,Lombardia,www.dankepelletteria.it,https://www.amazon.it/4-colonne-della-pelletteria/dp/B0BQPNSTLH/ref=sr_1_1?crid=3PTNB50O64F7T&keywords=le+4+colonne+della+Pelletteria&qid=1674644323&sprefix=le+4+colonne+della+pelletteria%2Caps%2C125&sr=8-1,False,False,SUCCESSO,200.0
BULGARI ACCESSORI S.R.L.,5571910487.0,151209.0,Firenze,Toscana,www.bulgari.com,https://www.bulgari.com/it-it/sustainability/governance/brand-protection.html,False,True,SUCCESSO,200.0
DUE EFFE S.R.L.,2349100137.0,152000.0,Como,Lombardia,www.due-effe.it,https://www.butticomputer.com,False,False,SUCCESSO,200.0
DEAN S.P.A.INDUSTRIA CONCIARIA PELLI,7829160634.0,151100.0,Napoli,Campania,www.deanspa.it/,https://www.deanspa.it/sostenibilita,False,True,SUCCESSO,200.0
GEOX S.P.A.,3348440268.0,152010.0,Treviso,Veneto,www.geox.biz,https://www.engitel.com,False,True,SUCCESSO,200.0
CAF S.R.L.,180840449.0,152010.0,Fermo,Marche,www.calzaturificiocaf.it,https://www.fststudio.com,False,False,SUCCESSO,200.0
GUCCIO GUCCI S.P.A.,4294710480.0,151209.0,Firenze,Toscana,www.gucci.com,https://www.gucci.com/it/it/st/faq,False,True,SUCCESSO,200.0
GUCCI LOGISTICA SOCIETA' PER AZIONI,4773230489.0,151209.0,Firenze,Toscana,http://www.gucci.com,https://www.gucci.com/it/it/st/faq,False,True,SUCCESSO,200.0
20ZERO1 S.R.L.,11674880965.0,152010.0,Milano,Lombardia,www.fuoriserie.it,https://www.linkedin.com/in/michele-ruffin-55a95916,False,False,SUCCESSO,200.0
HERMES S.R.L.,948880505.0,152020.0,Pisa,Toscana,www.mariodoni.it,https://www.mariodoni.it/mario-doni-green,False,True,SUCCESSO,200.0
CALZATURIFICIO MARUSKA - S.R.L.,493560502.0,152010.0,Pisa,Toscana,www.maruska.it,https://www.maruska.it,True,True,SUCCESSO,200.0
PRADA S.P.A.,10115350158.0,151209.0,Milano,Lombardia,www.prada.com,https://www.prada.com/it/it/womens/essentials/prada-buckle/c/10557EU,False,True,SUCCESSO,200.0
TOD'S S.P.A.,1113570442.0,152010.0,Fermo,Marche,www.todsgroup.com,https://www.todsgroup.com/it/sostenibilita/tracciabilita,False,True,SUCCESSO,200.0
