Ragione sociale,Partita IVA,"ATECO 2007
codice",Provincia,Indirizzo sede legale - Regione,Website,Unnamed: 0,_url,depth,base_url,status,code,has_keyword
GUCCIO GUCCI S.P.A.,4294710480.0,151209,Firenze,Toscana,www.gucci.com,36647.0,https://www.gucci.com/it/it/st/faq,2.0,www.gucci.com,Status.SUCCESS,200.0,True
PRADA S.P.A.,10115350158.0,151209,Milano,Lombardia,www.prada.com,40029.0,https://www.prada.com/it/it/womens/essentials/prada-buckle/c/10557EU,2.0,www.prada.com,Status.SUCCESS,200.0,True
GUCCI LOGISTICA SOCIETA' PER AZIONI,4773230489.0,151209,Firenze,Toscana,http://www.gucci.com,36214.0,https://www.gucci.com/it/it/st/faq,2.0,http://www.gucci.com,Status.SUCCESS,200.0,True
BOTTEGA VENETA S.R.L.,1824610248.0,151209,Vicenza,Veneto,http://www.bottegaveneta.com,,,,,,,
SALVATORE FERRAGAMO S.P.A.,2175200480.0,152010,Firenze,Toscana,group.ferragamo.com,,,,,,,
YVES SAINT LAURENT MANIFATTURE S.R.L.,6196900481.0,151209,Firenze,Toscana,www.ysl.com,,,,,,,
TOD'S S.P.A.,1113570442.0,152010,Fermo,Marche,www.todsgroup.com,5664.0,https://www.todsgroup.com/it/sostenibilita/tracciabilita,2.0,www.todsgroup.com,Status.SUCCESS,200.0,True
BALENCIAGA LOGISTICA S.R.L.,6196910480.0,151209,Firenze,Toscana,http://www.balenciaga.com,,,,,,,
GEOX S.P.A.,3348440268.0,152010,Treviso,Veneto,www.geox.biz,16595.0,https://www.engitel.com,2.0,www.geox.biz,Status.SUCCESS,200.0,True
CONCERIA PASUBIO S.P.A.,165480245.0,151100,Vicenza,Veneto,http://www.pasubio.com,,,,,,,
GRUPPO MASTROTTO S.P.A.,2629600244.0,151100,Vicenza,Veneto,www.mastrotto.com,,,,,,,
ALPINESTARS S.P.A.,1171110263.0,152010,Treviso,Veneto,http://www.alpinestarsinc.com,,,,,,,
RINO MASTROTTO GROUP S.P.A.,2723000242.0,151100,Vicenza,Veneto,www.rinomastrotto.com,,,,,,,
CELINE PRODUCTION S.R.L. -,1667950487.0,151209,Firenze,Toscana,http://www.celine.fr,,,,,,,
LEO SHOES S.R.L.,4338410758.0,152010,Lecce,Puglia,http://www.leoshoes.it,,,,,,,
RENATO CORTI S.P.A.,6248980960.0,151209,Milano,Lombardia,www.renatocorti.it,,,,,,,
IMAC S.P.A.,985500446.0,152010,Ascoli Piceno,Marche,www.igieco.it,,,,,,,
GRISPORT S.P.A.,541850269.0,152010,Treviso,Veneto,grisport.it,,,,,,,
MABI INTERNATIONAL S.R.L.,1428220303.0,151209,Udine,Friuli-Venezia Giulia,mabi.it,,,,,,,
DIADORA S.P.A.,4308510264.0,152010,Treviso,Veneto,www.diadora.com,,,,,,,
FAEDA S.P.A.,3209700248.0,151100,Vicenza,Veneto,www.faeda.com,,,,,,,
CALZATURIFICIO S.C.A.R.P.A. S.P.A.,173370263.0,152010,Treviso,Veneto,world.scarpa.com,,,,,,,
POLLINI S.P.A.,2589540406.0,152010,Forlì-Cesena,Emilia-Romagna,http://www.pollini.com,,,,,,,
DANI S.P.A.,552430985.0,151100,Vicenza,Veneto,www.gruppodani.com,,,,,,,
COFRA S.R.L.,2850580727.0,152010,Barletta-Andria-Trani,Puglia,www.cofra.it,,,,,,,
CALZATURIFICIO GENSI GROUP S.R.L.,1775460676.0,152010,Teramo,Abruzzo,www.calzaturificiogensi.com,,,,,,,
FONTANA PELLETTERIE S.P.A.,833190150.0,151209,Milano,Lombardia,www.fontanamilano1915.it,,,,,,,
B.A.G. S.P.A.,1485570442.0,152010,Fermo,Marche,nerogiardini.it,,,,,,,
LOWA R&D S.R.L.,625550264.0,152000,Treviso,Veneto,lowa.it,,,,,,,
