Ragione sociale,Website,URLPositivo,Profondità,Significativo,EsitoRichiesta,CodiceRisposta
Massolo Calzature Di Massolo Carlo E Carmelina S.n.c.,https://www.ufficiocamerale.it/7401/massolo-calzature-di-massolo-carlo-e-carmelina-snc,,,,SUCCESSO,200.0
Alexandria Spa,https://baliansprings.com/,,,,SUCCESSO,200.0
Tecno Gi Spa,https://www.tecnogi.com/en/,,,,SUCCESSO,200.0
Visconti Pio Srl,https://www.viscontisrl.com/en/home-en/,,,,TIMEOUT,200.0
Tomaificio Fontaneto Daniela E Stefano Snc,https://www.misterimprese.it/marche/pesaro-e-urbino/fano/calzature-produzione-e-vendita-ingrosso/1157936.html,,,,SUCCESSO,200.0
Maxxel Srl,https://www.listafirme.ro/maxxel-srl-14535284/,,,,SUCCESSO,200.0
Dal-car S.d.f. Di Di Francesco Antonio E Dalmas Giuseppe,https://www.informazione-aziende.it/Azienda_DAL-CAR-SDF-DI-DI-FRANCESCO-ANTONIO-E-DALMAS-GIUSEPPE,,,,SUCCESSO,200.0
Calzaturificio Alexandria Srl,https://www.ufficiocamerale.it/1993/calzaturificio-alexandria-srl,https://cloud.google.com/sustainability/region-carbon,2.0,False,SUCCESSO,200.0
Casarotti Calzature Di Gattoni Giampaolo,https://casarotticalzature.it/,,,,SUCCESSO,200.0
Ghidoni Sport S.n.c. Di Bellotti Maria Teresa E C.,https://www.dnb.com/business-directory/company-profiles.bellotti_sport_di_bellotti_paolo_e_c_-_snc.369d6c5b51c805d1a54152844fc4b8e4.html,,,,SUCCESSO,403.0
Plumy Srl,https://www.plumy.it/en/home-en/,,,,SUCCESSO,200.0
Isocal Srl,https://www.dnb.com/business-directory/company-profiles.isocal_srl.82a571517b51a4ef30d7aafb6fbf24ed.html,,,,SUCCESSO,403.0
Gifra Srl,https://www.gifrasrl.it/,,,,SUCCESSO,200.0
Brecal Srl,https://www.dnb.com/business-directory/company-profiles.brecal_contratistas_generales_srl.137cc453d8033e86ff99096812467159.html,,,,SUCCESSO,403.0
Power Brand Collezioni Italiane Srl,https://www.coobiz.it/azienda/vigevano-attivita-produzione/co1632464,,,,SUCCESSO,200.0
Emmeci Tecno Foot Di Morosoli Giancarlo E Gardini Luigia S.n.c.,https://www.emmeci.it/,,,,SUCCESSO,200.0
Ash Europa Srl,https://asheuropa.com/,,,,SUCCESSO,200.0
Calzaturificio Angelo Coppola Srl,https://www.coppolacalzaturificio.com/,,,,SUCCESSO,200.0
Pianellificio Jessica Sas Di Treccani Agnese & C.,https://www.dnb.com/business-directory/company-profiles.magini_agnese__c_sas_di_flacca_silvia.6fe4655e5df6f906d8bb14d8f04ca21a.html,,,,SUCCESSO,403.0
