,name,url
0,Massolo Calzature Di Massolo Carlo E Carmelina S.n.c.,https://www.ufficiocamerale.it/7401/massolo-calzature-di-massolo-carlo-e-carmelina-snc
1,Alexandria Spa,https://baliansprings.com/
2,Tecno Gi Spa,https://www.tecnogi.com/en/
3,Visconti Pio Srl,https://www.viscontisrl.com/en/home-en/
4,Tomaificio Fontaneto Daniela E Stefano Snc,https://www.misterimprese.it/marche/pesaro-e-urbino/fano/calzature-produzione-e-vendita-ingrosso/1157936.html
5,Maxxel Srl,https://www.listafirme.ro/maxxel-srl-14535284/
6,Dal-car S.d.f. Di Di Francesco Antonio E Dalmas Giuseppe,https://www.informazione-aziende.it/Azienda_DAL-CAR-SDF-DI-DI-FRANCESCO-ANTONIO-E-DALMAS-GIUSEPPE
7,Calzaturificio Alexandria Srl,https://www.ufficiocamerale.it/1993/calzaturificio-alexandria-srl
8,Casarotti Calzature Di Gattoni Giampaolo,https://casarotticalzature.it/
9,Ghidoni Sport S.n.c. Di Bellotti Maria Teresa E C.,https://www.dnb.com/business-directory/company-profiles.bellotti_sport_di_bellotti_paolo_e_c_-_snc.369d6c5b51c805d1a54152844fc4b8e4.html
10,Plumy Srl,https://www.plumy.it/en/home-en/
11,Isocal Srl,https://www.dnb.com/business-directory/company-profiles.isocal_srl.82a571517b51a4ef30d7aafb6fbf24ed.html
12,Gifra Srl,https://www.gifrasrl.it/
13,Brecal Srl,https://www.dnb.com/business-directory/company-profiles.brecal_contratistas_generales_srl.137cc453d8033e86ff99096812467159.html
14,Power Brand Collezioni Italiane Srl,https://www.coobiz.it/azienda/vigevano-attivita-produzione/co1632464
15,Emmeci Tecno Foot Di Morosoli Giancarlo E Gardini Luigia S.n.c.,https://www.emmeci.it/
16,Ash Europa Srl,https://asheuropa.com/
17,Calzaturificio Angelo Coppola Srl,https://www.coppolacalzaturificio.com/
18,Pianellificio Jessica Sas Di Treccani Agnese & C.,https://www.dnb.com/business-directory/company-profiles.magini_agnese__c_sas_di_flacca_silvia.6fe4655e5df6f906d8bb14d8f04ca21a.html
19,Parabiago Collezioni Srl,https://www.thierryrabotin.com/
20,Alessandro Ticozzi & C Sas,https://www.marketscreener.com/insider/ALESSANDRO-TICOZZI-A2AI18/
21,Mec Europa Srl,https://www.meceuropadue.com/
22,Creazioni D'acci Snc Di D'acci Antonio & C,https://www.ilmessaggero.it/abruzzo/macchinista_eroe_antonio_d_acci_chi_e_cosa_ha_fatto-8021147.html
23,Cooperativa S.r.l. Pantofolificio Dora,https://www.dnb.com/business-directory/company-profiles.cooperativa_srl_pantofolificio_dora.3edaa9f70d5d1524a5d14d0a4d2e9f9e.html
24,Calzaturificio Fratelli Zaniboni Di Fausto Donato Zaniboni E C Snc,https://www.facebook.com/calzaturificiofaustozaniboni/
25,Mef Di Migliorati Eugenio Franco & C. Snc,https://www.coobiz.it/azienda/verolanuova-produzione-puntali/co1625297
26,Calzaturificio Brivio Di Dulio Francesca E C. - Societa' In Accomandita Semplice .,https://www.dnb.com/business-directory/company-profiles.calzaturificio_brivio_di_dulio_francesca_e_c_sas_.657cd7f33fea6a0dbadb39c3ff40b95d.html
27,Albertini Walter Modellista,https://en.wikipedia.org/wiki/Walter_Albini
